15904:11:46	114.0	172.5	26.958	26.797	0.161	0.201
16004:12:34	39.0	116.5	26.491	26.632	-0.141	0.163
16104:13:21	39.0	135.167	26.792	26.643	0.149	0.201
16204:14:04	39.0	153.833	26.85	26.718	0.132	0.194
16304:14:51	39.0	172.5	26.913	26.771	0.142	0.201
16404:15:38	64.0	116.5	26.489	26.609	-0.12	0.186
16504:16:21	64.0	135.167	26.808	26.669	0.139	0.2
16604:17:03	64.0	153.833	26.867	26.75	0.117	0.18
16704:17:50	64.0	172.5	26.938	26.765	0.173	0.2
16804:18:41	89.0	116.5	26.489	26.594	-0.105	0.201
16904:19:28	89.0	135.167	26.817	26.658	0.159	0.201
17004:20:15	89.0	153.833	26.879	26.72	0.159	0.2
17104:20:59	89.0	172.5	26.946	26.738	0.208	0.258
17204:21:50	114.0	116.5	26.487	26.616	-0.129	0.201
17304:22:33	114.0	135.167	26.829	26.694	0.135	0.195
17404:23:20	114.0	153.833	26.885	26.738	0.147	0.198
17504:24:07	114.0	172.5	26.954	26.792	0.162	0.201
17604:24:57	39.0	116.5	26.487	26.641	-0.154	0.119
17704:25:44	39.0	135.167	26.79	26.635	0.155	0.2
17804:26:27	39.0	153.833	26.854	26.726	0.128	0.188
17904:27:14	39.0	172.5	26.91	26.769	0.141	0.201
18004:28:05	64.0	116.5	26.487	26.605	-0.118	0.2
18104:28:52	64.0	135.167	26.808	26.665	0.143	0.2
18204:29:35	64.0	153.833	26.867	26.749	0.118	0.183
18304:30:22	64.0	172.5	26.94	26.781	0.159	0.201
18404:31:09	89.0	116.5	26.748	26.59	0.158	0.201
18504:31:56	89.0	135.167	26.813	26.649	0.164	0.201
18604:32:43	89.0	153.833	26.877	26.721	0.156	0.2
18704:33:31	89.0	172.5	26.895	26.757	0.138	0.253
18804:34:15	114.0	116.5	26.763	26.61	0.153	0.2
18904:34:58	114.0	135.167	26.829	26.693	0.136	0.183
19004:35:45	114.0	153.833	26.888	26.742	0.146	0.201
19104:36:32	114.0	172.5	26.96	26.806	0.154	0.201
19204:37:16	39.0	116.5	26.738	26.635	0.103	0.162
19304:38:03	39.0	135.167	26.79	26.634	0.156	0.201
19404:38:46	39.0	153.833	26.85	26.713	0.137	0.187
19504:39:29	39.0	172.5	26.913	26.781	0.132	0.198
19604:40:13	64.0	116.5	26.748	26.607	0.141	0.203
19704:40:56	64.0	135.167	26.804	26.678	0.126	0.196
19804:41:38	64.0	153.833	26.867	26.744	0.123	0.177
19904:42:25	64.0	172.5	26.938	26.76	0.178	0.201
20004:43:16	89.0	116.5	26.489	26.594	-0.105	0.201
20104:44:03	89.0	135.167	26.817	26.668	0.149	0.201
20204:44:50	89.0	153.833	26.881	26.719	0.162	0.201
20304:45:34	89.0	172.5	26.948	26.74	0.208	0.272
20404:46:25	114.0	116.5	26.489	26.616	-0.127	0.201
20504:47:08	114.0	135.167	26.827	26.697	0.13	0.192
20604:47:55	114.0	153.833	26.888	26.745	0.143	0.2
20704:48:42	114.0	172.5	26.956	26.79	0.166	0.201
