232	16:00:33	28.688	19	35
233	16:01:05	28.669	19	34
234	16:01:22	Kehft shod	21	34
235	16:01:54	27.477	19	33
236	16:02:26	28.669	19	34
237	16:02:44	Kehft shod	21	34
238	16:03:04	Kehft shod	19	32
239	16:03:33	28.680	20	31
240	16:04:09	Kehft shod	22	32
241	16:04:37	28.680	20	31
242	16:05:09	27.477	19	33
243	16:05:49	Kehft shod	19	34
244	16:06:10	Kehft shod	19	32
245	16:06:46	Kehft shod	22	32
246	16:07:14	28.680	20	31
247	16:07:42	28.657	21	31
248	16:08:15	28.688	18	34
249	16:08:43	28.680	20	31
